TRANSCRIPTION,TAGS,,,,,,,,,,,,,,,,,
Yep. Any other questions?,,,,,,,,,,,,,,,,,,
"Yeah, we do track the automations. We do expose it for certain retailers. We have not exposed it for AdManager here, so there will be something called as the actions log where they can see which automations ran what was the action taken? Yeah, that that we track and show it to the users.",Reporting, CommerceIQ, Automation,,,,,,,,,,,,,,,
"Yeah, I think we had a couple of feedbacks, which is you know pretty... so I think I will let Sakir start. Sakir, why don't you go ahead.",,,,,,,,,,,,,,,,,,
"Yeah, hi. So currently, it would be great if you guys like provide SKU-level API now. So currently if we have to add SKU's in our product so we have to use the campaign API, campaign-level update API now. So in the API what we do so,  suppose that in a campaign, we have already added 5 SKU, right? So first we have to fetch all the SKU's and then we want to add a 2 new SKU's. Then we need to append 2 SKU's in that list, and then we hit back the updated with the 7 SKU’s, right? So this is the kind of functionality like current implemented. But now it would be great if you provide like another API which will be just using to append the SKU's, right. So we don't need to fetch the entire list. What we need to do, we just need to pass the new SKU's in that using that API. So that's the thing, like we were looking [at]. So we have this functionality for other retailers. So here like we are just using the campaign-level API.",Limitation, API, SKU, Errors or Issues, Campaigns, Partners,,,,,,,,,,,,
"Yeah. So data, we have like, OK, what are my entities, right? So if you see top-level, my entities are campaigns, SKU's and keyword. Now how do I update now we have keyword level bids as well, right? How do I update a keyword-level bid only for one keyword for a particular campaign? I cannot do that, so I have to hit the complete campaign API. I have to do a 'GET' call I believe to see if someone is not updated bid in AdManager portal and then based on that I have to change it. Otherwise, let's say someone has updated 1 keyword, we have 3 keywords, and we fetch the data once in 24-hours, right. So every day at maybe 10.00 AM or something, we will pull the data from your database, and we will include it. And till next day 10.00 AM there will be no communication with AdManager. Now let's say someone has added 1 keyword after we pull that data, we don't have that information and user is trying to change the bid from our system. So what we will do, we will push the entire campaign API, right and what it will do, it will overwrite the campaign that you have and they will lose the keyword they have added in the AdManager portal. So that is the that is one of the challenge we get. So if you have a POST, PUT, and GET API's for each entities, keywords, SKU's and campaign, that would be really good.",Customer needs, Search terms / Keywords, Integrations, SKU, Limitation, Data, API, Partners, AdManager, Campaigns,,,,,,,,
Search terms.,,,,,,,,,,,,,,,,,,
"Yeah. Right. Yeah, exactly. We don't have to send a payload. I think what other retailers do, there is a system within a campaign. I think they create a unique ID and they give that unique ID. Now I just have to know that unique ID for that thing, which is a campaign system combination, or a campaign/SKU combination, right. And if I know that unique ID, I just have to say OK for this unique ID, work for this action. So that's how it helps.",Data challenge, CommerceIQ, UPC or Identifier,,,,,,,,,,,,,,,
"Yeah. Amazon, Instacart. Even, we have Target on AdManager and Target on Criteo, both. So Criteo does that as well.",,,,,,,,,,,,,,,,,,
"That's a good question. I don't know under whose bucket it falls. So some of the retailers they give us hourly-level data as well. I know it might be under the other team, but tell me if it is under the other team.",,,,,,,,,,,,,,,,,,
"OK. Yeah, that that would be helpful. Like if we get every hour how my campaign is doing, so that [I can understand] what I can do. Maybe I know between 12.00 AM to 5.00 AM. My campaign is spending a lot of money, but there is no sales happening. So what I will do, I will reduce my bid for the campaign during that particular period of time. So we had that feature, we were not built [it yet]. That is the day-parting feature or our limited feature we call that we are currently building, which will be live in this quarter. But [if] you have to optimally use that feature, it will require, OK, how do I know which hour the campaigns or the keywords are performing well. So what we have seen is people have some budget, but that budget gets over [spends entirely] within early part of the morning, or 3.00 PM. And the rest of the time, the campaign is out of budget if the campaign budget type is down. So that's one of the thing that is important. Another thing I realised I think recently we integrated with one of other. So do you handle Europe as well or is it only US?",UK, USA, Optimisation, Campaigns, Spend, Integrations, CommerceIQ, Day-parting, Bidding,,,,,,,,,
"So we I think integrated with Sainsbury, which is for UK. So there we found one thing interesting thing is, Sainsbury doesn't support daily-level budget. It only supports the life-time budget [budget set for a campaign duration].",CommerceIQ, Operations, Sainsburys, UK, Budget,,,,,,,,,,,,,
"OK. I think that was like a big [issue] because I will tell you the problem. Like, they will put budget like let's say I have a budget of $500.00 for this month. And what have happened is that that $500.00 will get over [spent] within first 10 days. Rest [remaining] 20 days, they will have no budget. So they asked us to manually place the budget like let's say there is $500.00 or let's say $600.00. So each day $20.00 [budget top-up], so they say that go every day to the campaigns and put $20.00 so that I last for like 30 days. So that was one of the challenges we faced. But yeah, if it is a retailer flag, I don't think we can do much.",Errors or Issues, Budget, AdManager, Business challenge,,,,,,,,,,,,,,
"OK. I don't recollect but if you want, I can definitely create some document or something. Like I have never thought from that perspective except the catalog part and this getting API's for the keyword and SKU's. But if you want, I can definitely put something [in writing].",,,,,,,,,,,,,,,,,,
"Yeah. So since we have not enabled campaign creation for AdManager, we have not seen that request. But let's say this happens, typically at the beginning of the quarter when the clients have new budget or their launching a new set of products. So they give us say that OK launch maybe 5, [or] 10 campaigns. Another thing is, even if they have 1 product, still we have to launch bulk campaign because the way we categorise the campaign. So we have 1 campaign for let's say I think there are multiple categories, placements right, PDP category, search. Within search also we can have like these are my top performing keywords. I want to provide more bid, so that is one campaign. These are my [long] tail keywords so I will create another campaign. So there could be multiple campaigns for one product. So if you get 4 or 5 products, then there could be like a lot of campaigns. So, that's where bulk. So since we have not used AdManager, don't get that request. But for other retailers, we do get that.",Integrations, Placements, AdManager, Data challenge, API, Categories, Bidding, Products, Campaigns,,,,,,,,,
"Sorry Dieter, can you please? I'll for the moment I lost the audio. Can you please repeat that question?",,,,,,,,,,,,,,,,,,
"Yeah, we have Kellog's, yeah, they're advertising against like a lot of different [retailers] ShopRite, Hy-Vee, Target, Ahold. Eggland also have like a lot, so [retailers they advertise on].",,,,,,,,,,,,,,,,,,
"Yeah. I just showed you, right. So we can just [access via the] drop down is there and with the drop down they can filter the retailers.",,,,,,,,,,,,,,,,,,
"Yeah, they want to be like, let's say one particular brand, how it is performing in Target versus Ahold [Delhaize]. So they want to see that view.",,,,,,,,,,,,,,,,,,
"Hey, Ollie I have two drop off? I think we are on the top of the hour, so there is another call I have.",,,,,,,,,,,,,,,,,,
"If you have any other questions, feel free to just drop me a mail. I will reply to that.",,,,,,,,,,,,,,,,,,
Thank you. Have a great day.,,,,,,,,,,,,,,,,,,
"So what Ad Op's usually receives for sponsored products is what we refer to as an SL template [Sponsored Listing], so sponsored listings template. The CSM will create this based on the products that the client provides us. So, they'll break everything out into campaigns where the keywords are aligned with the types of products. So in this example [shared SL Listing spreadsheet] this is for GoPro, so that we only have 4 products and we've broken it out into different keyword groupings. So in this campaign, it's for all cameras. And this campaign, we've broken out branded [groups], so it includes the GoPro brand in the keyword description. And then further breakouts. So this one has a specific the Hero 12 [product]. They've started adding Hero 12 in the branded terms. And again Hero 11, Hero 10 [GoPro products], breaking things out like that. This one is a bundle, so we have, you know like 5 or 6 campaigns to create and in the AdManager UI what we would do is go into the team. And for this example I'll just use our test team. But you would go into the team, create a new campaign, and then you have to select the settings each time you create a new campaign. So if I'm creating all keyword, I would choose search, create my campaign name, and then my dates. So every time you create a campaign, you have to re-select search, create the campaign name. Re-select the dates, select the wallet again, and then add your products. So we do have a bulk function in the AdManager UI. You can download a template where you can bulk upload, what Target calls their TCIN's [Target Catalog Identification Number] which is just like the SKU's that the client has given us. So we do have that available in the AdManager UI. The only thing where it doesn't work is if a product comes in different sizes and colours like a T-shirt. We wouldn't be able to use bulk for something like that.",Bulk actions, Campaigns, Managed service, GoPro, Products, Routine activity, SPA (Sponsored Product Ads), Limitation, Date or Time related, SKU, Planning, Search terms / Keywords, AdManager, Business norm, Target, Excel,,
"Yes. So the way that Target [shared AdManager instance for Target], the way that I guess the team, I'm not sure where the terminology was originally thought of, but we've always referred to them as a parent TCIN and then a child TCIN. So if you click on a T-shirt, you can see obviously extra-large in brown, is it owned TCIN, and then extra-large and red has its own GTIN, Black has its own. So each one of these sizes has each one of these colours of its own GTIN. But then at the top you can see in the URL [on the Target website], here it says a dash and then this number [i.e. A-90003723 from the URL string]. So this is what we've always referred to as the parent TCIN and then the pre-select as the child TCIN whichever colour and size this goes to. So at the first beginning of trafficking the Target catalog, we were only ever able to use parent TCIN's. And then throughout one of the releases, they were able to include the child TCIN's in the catalog. But now when you use the bulk template, if you put in parent TCIN's it will just choose at random one of these [any of the child TCIN's]. So you have to actually use all of them. You can't just use the group like the parent grouping. So you can use child TCIN. You just have to make sure that you have all of them, otherwise in the UI we can do, if we just go one-by-one, we can just grab [them]. Sometimes the clients will only have the parent TCIN's and so that's what they'll send us. But we then have the option to see like this [parent TCIN] comes in 82 variations. We could add all 82, but you just can't do that in bulk. It we'll just pick one [a child TCIN] at random.",Catalog (retailer), Limitation, Operations, Target, Bulk actions, UPC or Identifier, Parent-Child,,,,,,,,,,,
"Yes. So there are standard naming convention will take whatever the CSM has labelled the campaign. So 'All cameras' would be the campaign name and then depending on the placement type, if it's search we usually do ‘KW’ for keyword and then will take the campaign name that the CSM has created. And then we end the campaign with the PIO [Placements IO] ID [i.e. example on screen was named 'KW_ALL_CAMERAS_1445847']. So PIO like Garcia Remen finance system and so in here, each campaign has a PIO ID. So we just tag that at the end of all campaigns. So it would look like that placement type, campaign name and then Placements IO ID.",Campaigns, UPC or Identifier, Business norm, Placements IO, Managed service, Placements, Tagging,,,,,,,,,,,
"Well, we put the PIO [Placements IO] ID in the wallet for billing, but we usually include it in the campaign name just to make sure, cause oftentimes we'll have multiple campaigns in one team. And then this way we can see like this was the 2024 campaign. There might have been one from last year or maybe they break them out by quarters. So this is just another easy way to help us when we're like searching for campaigns or trying to stay organized with all the campaigns being there.",Placements IO, Billing, Routine activity, Campaigns,,,,,,,,,,,,,,
"Yes. Some scenarios you might, yeah.",,,,,,,,,,,,,,,,,,
"Sure. So then you would add your products from the template. And then like, oftentimes we can see like this product, says Black [GoPro product]. But because the electronics, it might not have additional variations of the same way that a T-shirt does. But oftentimes, like we just received this, so we don't necessarily know if it comes in different colours. And so usually the first time that we're finding that out is in the trafficking process. So we would add all 4 [products]. Understood, go with one for now and then next page you would add your keywords and you can do a bulk upload for keywords. So you just download the template [from AdManager]. The template has a first row of code, so this search underscore term has to stay in the template and then you would just add your keywords here. This does have a limit of 100 keywords, including the line of code, so if any point we have a campaign that has more than 100 [keywords], we have to break it into multiple templates.",Search terms / Keywords, GoPro, Bulk actions, Products, Manual effort, AdManager, Parent-Child,,,,,,,,,,,
"Yes, we might do like when we get the trafficking ticket, we might just do like a quick review. If their [customers] list was much shorter, I might come up with some keywords to add. Or I might just review to make sure that they didn't add any branded terms just because of Targets’ business rules, we're not allowed to bid on competing branded terms. So that's really the only scenario. Since this one is so many keywords, and it's well built out, I probably wouldn't add any in this case. But there are some scenarios where you would do like a quick scan and see like oh they forgot to add this or they didn't think of this and you'd add those in.",Target, Search terms / Keywords, Campaigns, Brands, Competitor, Routine activity, Managed service,,,,,,,,,,,
"Well for me, we have separate account lists. So we're often getting campaigns with similar types of products. The account will be kind of broken out by category. So for this seller, CSM team and Ad operations team, they often are in the electronics category, so they might have brands that run with a lot of the same keywords. And that often helps you know you see like GoPro is bidding on video camera, drone, stuff like that and then they get another small camera that doesn't have as many of those keywords. So usually it's just like quick top-of-mind from working with the keywords all the time. But if I opened a template that just didn't seem like it had a ton, I would often like go to the Target website and pull up the product and figure out ways that they talk about the product from their product page [PDP page]. So  the details like what do they talk about, is this waterproof? Would they waterproof camera and stuff like that. Or we have like a couple other tools that we'll use. For like searching keywords like ChatGPT and other kind of keyword AI places.",Account management, Categories, ChatGPT, Business norm, Analysis, Managed service, Target, Search terms / Keywords, Brands,,,,,,,,,
"So GoPro's a little bit of a harder one. Maybe if it was like... I'm trying to think, what would be a better example, I'll just say like sneakers.",,,,,,,,,,,,,,,,,,
"I have not actually done had to do any. A lot of our programs have been live for like 6 months. Usually we do a lot more like you were describing at the beginning, but then after 5 months of looking for keywords you usually run out. But one that we've been working on a lot has been razors. Obviously, there's only like, it's kind of a niche product. There's so many ways to that people are going to type in a search keyword to find razors. So if the product is women’s razors, I'll use the search bar on Target as well, because it often starts auto-filling based on the searches that they're seeing. So you'll like kind of just start typing and see what comes up. See if we have any of these keywords and if they make sense for the product. The more you add, the more you know, if you keep adding spaces and things the keywords will change. So this is one place that will start with, specifically the Target site. And then based on you'll go to your actual product that you're working with and look at the product description [PDP] and see what are things that they say. So it has five blades. You might add something like 5 blade razor. If it talks about being disposable, you maybe would add disposable razor kit. Things that you might find within this product description. Then we'll also sometimes just use Google and see what's suggested. Things come up from Google. We'll also use WordStream is one that will use sometimes so. You can actually use the product UPC and here this is just a free tool, and it will only stay free for like the first page. But this is one that will sometimes be helpful. It'll come up with a list of keywords. We'll you ChatGPT where you can go in and say I need a list of exact match keywords for a sponsored product? Sometimes Google Ad keywords, we'll use. And then the last one we'll use is DataGrid to look at keywords that other retailers and similar brands might have run. So if we go to like, we have a keyword discovery dashboard [in DataGrid]. But that's only going to show you the top like, I think they've only mapped the top 10,000 [keywords]. Maybe so if we go to like the optimization dashboard, we can go down to keywords and by and just like type in 'pickles' and it will show like 'kosher Pickles', 'dill pickles'. It'll show you the list of every keyword that has ever been in a campaign. So that will help, especially if you're not filtering by retailer. You can see like what other retailers used as keywords. So we have like a ton of different ways that we try to find new ones.",Program, Campaigns, ChatGPT, Google, UPC or Identifier, WordStream, Products, Search terms / Keywords, DataGrid, SPA (Sponsored Product Ads), Optimisation, Routine activity, PDP (Product Display Page), Target,,,,
"Yeah. And then you can just save and drag the template into here [the Search step in Campaign Setup in AdManager]. Once you have added those terms or you could also just type. It's always [keywords] delimited by a comma. So you can add as many that way if you want to, or just add one at a time. And then the last page is the Strategy page. So again, on every campaign we are setting the keyword [max] bid, so this will be to apply.",Campaigns, Bidding, Excel, Search terms / Keywords, AdManager,,,,,,,,,,,,,
"Yeah, right wow we're using that more to help determine what the Max bid should be. So if we have like a ton of keywords like 'coffee', 'ground coffee', 'decaf coffee' and then we'll see like 'ground coffee' is actually really highly searched right now, then we might say like, let's increase the bid for that keyword higher than the rest because it's seeing a lot more searches and we'll have to be more competitive.",Bidding, Search terms / Keywords, Business strategy, Competitor,,,,,,,,,,,,,,
"I would say like 3 [bars] or higher. Oftentimes it won't be filled in at all [the blue bar serach volum indicator in the Strategy step], depending on the type of keywords that you're using? I was just going to say I'm actually surprised by how little this is. I would have thought there would have been more variation [of search volumes shown for the keywords] in this. In the in the search value like to me, this feels like a mistake. I can't imagine that coffee and pudding have the same search volume. So to me this feels like not trustworthy, to check it out right now. But like sometimes you would see like a proper distinction between [search volumes]. Yeah, like there's no way that bicycle and coffee have the same search volume. But sometimes you do actually see a distinction where you don't have all 5 bars filled in [for search volumes], and so then you might say like if 5 of the keywords that I've added here only have 2 blue lines. But my 6th and 7th one have 4 or 5 that I might increase the bid on those two.",Positive feedback, Understanding vague, UI, Search terms / Keywords,,,,,,,,,,,,,,
"So this is supposed to be data from the last 30 days. So I would just assume that a ton of people are constantly searching for coffee and not as many people are constantly searching for things like pudding, or bicycle, or hat. Like I can't imagine people are typing in 'hat' versus 'hats' as often, or like 'bicycle' versus like 'adult bike', 'kids bikes'. You know, to me, those are not as common of uses of search terms. But I could absolutely be wrong on that. It just seems a little inflated to me.",Expectations, Data, Understanding vague,,,,,,,,,,,,,,,
And then Target also the minimum bid is specific to Target because they determine the minimum bids based on category and they actually revise that every quarter based on seasonality. So they dictate what the minimum bid is versus that's not determined by us.,Target, Operations, Bidding, Categories,,,,,,,,,,,,,,
"It doesn't for us I would say [search volume decision]. Usually we're going to add as many keywords as we can and then when we're thinking about if we're going to keep a keyword, it's going to be after a few weeks and we're seeing how it performs and if it's being clicked on, if it's getting a return, when it's clicked on. So usually we're going to start with as many keywords that our relevant and then we'll pull back after.",Mental models, Search terms / Keywords, Performance, Preference, ROI, Routine activity,,,,,,,,,,,,
So then that's really just the last page there.,,,,,,,,,,,,,,,,,,
"In this scenario, I would probably leave everything as is for now. But just because the minimum bid that has to be is $1.50 given this keyword. If this keyword [with a 56 cents minimum bid] wasn't here, I might go up to like 65 [cents] or I guess taking out the two highest minimums. I might to up to like 65 [cents] instead of starting at 50 [cents]. Just because these are some more highly searched keywords. Let's say this is just a coffee campaign and all these keywords are relevant to the coffee products, we know that like, there's just a ton of coffee brands on Target. And so we're going to have to be a lot more competitive to keep in the top 5 [SPA] slots.",Bidding, Routine activity, Optimisation, Search terms / Keywords, Relevancy, Products, Target, Placements, SPA (Sponsored Product Ads),,,,,,,,,
"No worries. Yeah, I think something that we often do when we're setting up campaigns is create what we thought had called MVP campaign. And so if this product, lets say we'll stick to the coffee example, we might have one campaign that just has 'coffee' and then in another campaign have 'decaf coffee', 'whole bean coffee'. You know, whatever makes sense as what we would refer to more long tail-keywords. Just because we know that that keyword of coffee is going to be the one that every brand bids on and puts their best products and spends their most because that's what's going to be more likely searched versus like 'dark roast coffee'. And so separating it into it its own group just makes it easier for us to manipulate things like which products are serving and how frequently we want to change the bid. So that's what we've often been doing is like a strategy for initial setup when we know there's going to be, you know 1 to 5 keywords that are going to be extremely competitive for those products.",Campaigns, Routine activity, Products, Search terms / Keywords, Competitor, Bidding, Ad serving, Business strategy, Business challenge,,,,,,,,,
"Yeah. So you would start with a a couple of campaigns, but for the initial setup you would separate the highly searched, highly competitive keywords into its own campaign. And you would still launch the other keywords at the same time. You would just, that one MVP campaign, let's say we have products that the client has on promo or they really want to see more purchases. We could put those products in that campaign. Otherwise we might just launch with every product in that campaign and see which ones are getting the conversions. And then you know, delete the other products. Keep those in the other campaigns where they might be seeing more stronger performance for some long-tail keywords. Because right now it's really hard to.. we don't have reporting in the platform to see what keyword someone searched when they clicked on a product. It's not tied together that way. So we're kind of just making those judges [inferences or assumptions] based on the conversions and click through rates of the product.",Routine activity, Campaigns, Buyer behaviour, Competitor, Search terms / Keywords, Promotions, Sales, Business challenge, Reporting, AdManager, Mental models,,,,,,,
"So then you just have your last page [Review step in AdManager] where you can review your campaign setup. So if we had created this campaign in the AdManager UI, then we would go - let's say this is a new campaign in a program that's already been running since the beginning of the month - but we just got new keywords or new product that we want to add. Then you would go back into Pacvue and add that to the campaign tag to make sure that it's tied together with the wallet. So I think I showed you guys that last time you would go to the tagging section, go to campaign tagging and then you can search by the campaign tag that already exists. Or you can search by a campaign; you can search by a team; you can search by campaign name.",Campaigns, Program, AdManager, Search terms / Keywords, Products, Pacvue, Manual effort, Tagging,,,,,,,,,,
Yes.,,,,,,,,,,,,,,,,,,
"Yes. So we always create the campaign tag first. And then for optimizations, the next piece we'd do, we would set up automatic rules [Optimisation rules in Pacvue]. And this is actually a piece that we are starting to have a new issue with that has just come up. Which is that these rules are running and the action that we're asking them to take is just to increase the CPC. But it's moving the campaigns from active to pending approval. So they're like active and approved. The rule says increase this bid $0.50 and it's being pushed into requiring approval even though the UI doesn't require approval unless you like add a product, add a keyword. So this just started like 2 or 3 weeks ago. It used to not work that way. So I actually have a Service Now ticket open and not sure if that's something that you Ollie are being looped into those kinds of API issues. But it's definitely a concern. [NOTE: Ask Ollie about this bid optimisation bug.]",API, Errors or Issues, Optimisation, Concern or Worry, CPC (Cost Per Click), Tagging, Pacvue, AdManager, Approvals, Service Now,,,,,,,,
"Yes, that'll be great.",,,,,,,,,,,,,,,,,,
"No. So they have a support email address that you can email any issues to. And then they'll create a ticket using the email. And then we also will always copy the CSM that we work with on the Pacvue side so they're aware of any outstanding issues and they can like follow up on tickets and stuff. But they have their own separate like issue flagging and then what happens is they'll just take a look at the ticket. And in this scenario I emailed them, and they said it looks like the issue is coming from the AdManager side. So then I created a Service Now ticket.",Support, Service Now, Pacvue, Managed service, Partners,,,,,,,,,,,,,
Yes.,,,,,,,,,,,,,,,,,,
"So this is the first process of optimisations. We'll do create an auto rule [in Pacvue]. This one runs based on the wallet tag. It's last execution was this morning and it affected 5 campaigns that are tied to this tag where they were increased by 6%, because of 5 of them met the requirement.",Optimisation, Tagging, Pacvue, Wallets, Campaigns,,,,,,,,,,,,,
"So this is like it's called a campaign tag but we are using the name of the [AdManager team] wallets to create the tag. So in AdManager you have to select your wallet that something is going to be tied to. But a lot of our brands like Harry’s [male grooming brand] for one, that is the razors that I've been working on. They have like Harry Shampoo, Harry’s razors, Harry shaving cream and they break out their budgets by the different categories. And we have a lot of brands who do things like that. Like Kraft will break it out by like ketchup and Mayo and all their budgets will be in separate buckets based on the product type. So you might have a lot of different wallets that have different products, so you're going to have different rules based on those. So that's why we group things together in Pacvue. So, like right now we have all of these wallets that are live for the Harry’s program, and then we created a matching campaign tag with the wallet name and then tag all the campaigns that are pulling from this wallet, so that they all have the same rule applied.",Tagging, Campaigns, Wallets, Budget, Catalog (retailer), Routine activity, Kraft (Heinz/Kraft), Products, Business decision, Manual effort,,,,,,,,
"No problem. So we do this [campaign tagging in Pacvue] and then we also can do day-parting. This has been really helpful for, I don't think we have anything set up at the moment, but this has been helpful for creating increases in the past. A lot of campaigns like in Q4, we would say like leading up to Black Friday increase the bids and then increase them again like maybe 30% for Black Friday. And you can kind of schedule that in advance so that you don't have to constantly be going in [to Pacvue] and changing all the bids yourself. We haven't used day-parting for anything like not letting programs spend until a certain time of the day because we don't want to do that. We want to make sure that they're live as long as they can be all day. So right now we're really just trying to use it to do things like increase the bids over the weekend or over high shopping, like high traffic times.",Tagging, Pacvue, Day-parting, Seasonal, Optimisation, Bidding, Buyer behaviour,,,,,,,,,,,
"Just business [decision]. Like the sales team just doesn't want to do that. They just want to make sure that we're not giving brands that option and instead saying like if you're not live all day long, then that's a good reason for you to give us more money.",Business decision, Day-parting, Retailers,,,,,,,,,,,,,,,
"So you can create day-parting; you can set it to run a specific date range; you can exclude certain dates. It is still in Pacific Standard Time [PST time zone], and then you can choose like for 12.00 AM to 1.00 AM, I want to pause the campaign. Like I said, we're not doing that, but you can't do that. Or I want to set the bid to a certain dollar amount or you can do increase the bid by a certain percent or decrease the bid by either a percent or a dollar value. And then you also have [spend limit] caps. So in case other automation has already increased those campaigns and you don't want them to increase too high, you can set limits on that.",Day-parting, Date or Time related, Time Zones, Ad serving, Budget, Automation, Spend Limits / Cap-outs,,,,,,,,,,,
"Yes. So you can apply it to specific campaigns, or you can apply it to a campaign tag. You have the choice of like choosing individual campaigns or choosing the campaign tag [in Pacvue]. We just choose tags just because it's a little bit of a faster process if they're already tagged together.",Tagging, Campaigns, Pacvue, Competitor advantage,,,,,,,,,,,,,,
Oh yes.,,,,,,,,,,,,,,,,,,
"So for this particular wallet, our goal was really just to increase the pacing. So right now the automation that we've been setting was saying increase the CPC. If the campaign has seen sales. So as much as we want to increase the spend we also often have clients who really want to see the return [ROI]. So something that we would do for the rule would say - I'll  click into at the campaign level - we would say looking at the campaigns in the last 5 days. If this campaign stall any sales, then we are comfortable increasing the bid. So if it didn't see any sales then we would not want to create increase the bid. Right now we don't have rules for this particular one set up to decrease the bid, but that is something we've done in the past is create kind of like a balanced rule. So that on one hand we're increasing bids and then on the other hand, we're it decreasing them if the performance starts to fall. So we would kind of set like a pacing rule, increase CPC and then what we were referring to as like a performance rule or like a ROAS based rule to say if this campaign has not seen set any sales in the last week then decrease the bid. But you can set a lot of different requirements around those automations. So you can say if impressions have fallen and they haven't seen sales, then we might actually want to increase the bid, because that likely means that they have started losing impressions because of competition. So really just depends. We can kind of customise the requirements based on what the client is interested in or what the product price point is. If we know that they're in a competitive category like razors that have a lot of different brands running on Target right now, we might just say like always look at impressions. If impressions fall below 1000, a thousand impressions a day increase the bid because the competitions really high. I'm so sorry. I know that's kind of a lot of different scenarios, but we're really trying to tailor based on what the goal is.",Wallets, Pacing, Automation, Pacvue, CPC (Cost Per Click), Spend, Bidding, Optimisation, Performance, ROAS, Impressions, Competitor advantage,,,,,,
"Share of voice is a big one for newer brands at Target. They often have a hard time breaking into like the 3X [times] return, 2X [times] return, when they're a newer brand. So we often try to tell a story of you're getting more share of shelf. You're getting more share of voice. And so in those scenarios, we're trying to improve impressions and click through rate. So we would do things like increase bids for impressions and then right now the algorithm for Target is very heavily, the relevancy is very heavily weighted for click through rate. So we would go back in and review the products and try to see are there products that are getting clicked on a lot in this keyword group that are not getting purchased that we wouldn't be able to automate and Pacvue. But that's just one of the steps that we would take.",Share of Voice, Target, Business challenge, Brands, Share of Shelf, Optimisation, Impressions, CTR (Click Thru Rate), Products, Search terms / Keywords, Pacvue, Automation,,,,,,
"For the most part, we just see sales, share of voice, and like spend. Some of our clients just have budget goals that they need to hit. So it might just be constantly increasing spend throughout the day.",Routine activity, Sales, Share of Voice, Spend, Budget, Brands,,,,,,,,,,,,
"Yes, sometimes because a lot of the brands have direction from Target like in order to keep their products on shelves in Target, they have to meet certain business goals with them. And so they'll have a budget, and they'll say, we don't care what they return it we just need to make sure that we spend this money. So it's not as common as return on Ad spend. That's a much more popular performance metric, but we do have a handful that always or just like, let's make sure that we're delivering the budget in full.",Target, Operations, Brands, In-Store, Business strategy, Spend, ROI, ROAS, Performance, Metrics,,,,,,,,
"So we do have a separate pacing report in DataGrid that we often will look at the pacing report every day to see like here today's pacing report [shared DataGrid pacing report]. I reformatted some of the columns. They're just a little bit different than where they actually live in order, because I'm focusing on campaign data expected to under-deliver their budgets right now. But this is where you would start for spend as the goal to see how much are they expected to under deliver. What is the daily spend that they need to be at and what did they spend yesterday? We also have what did they spend on average over the last seven days, but I find like yesterday it's really helpful in case we made any changes in the last seven days. And then we can say, OK, based on yesterday's spend, this is an accurate assumption that we're getting close to the daily spend needed, but we're not hitting it. And so then in Pacvue we would automate something like anytime impressions fall below, you know, if the average impression for this campaign is 35,000 a day, I might say anytime it falls below that, increase the CPC so that we can try to make up that gap between what we spent yesterday and what we need to spend.",Pacing, Reporting, DataGrid, Manual effort, Campaigns, Data, Performance, Spend, Value or belief, Pacvue, Automation, Expectations, CPC (Cost Per Click), Impressions,,,,
"We could, but I don't have any real setup like that at the moment, just because that's not a scenario that we often run into unfortunately. But there are only 5 Ad slots [for Target], so we often find that we're not competing enough with like Criteo [as Target use a mediation layer to route Ad requests between Criteo and AdManager]. But you can set basically in the [Pacvue] rules you have the option to set decrease CPC for the action taken. So you can say and if impressions remain consistent and that's telling us that we're winning. If we look back every 5 days and our impression's remaining consistent we could say decrease the CPC. That would help improve our ROAS and kind of counterbalance any automatic increases that we're making. And on the actions page [in Pacvue] you you have the option to do budgets.",Target, Placements, Criteo, AdManager, Operations, Pacvue, Automation, Optimisation, Impressions, CPC (Cost Per Click), ROAS, Budget,,,,,,
"We're not using the budget manager [in Pacvue] at the moment just because we have issues going on with like the time zone scenario and also with automation causing campaigns to pause. So we're trying to get some things fixed before we do any sort of budget manager in here, but we do have that option. There is a calendar section where you can set all the budgets at the daily level. You could use the automation for that or you can do increase bid decrease bids that bid or pause campaigns. So if you have the possibility of a campaign performing really poorly and it really negatively impacting the overall ROAS you could pause that particular campaign if it falls below like a certain performance goal. But you could also say decrease the bid. So if we wanted to set up counter rules, I would say if the ROAS is remaining above a certain amount and then I would add if impressions are equal to or greater than what the average that we're seeing for those campaigns, let's say it's like 1000 impressions a day. You could set a couple of different requirements, so if it has a good ROAS and it's meeting its impression goal, let's go ahead and decrease the bid. You can add, I don't know if there's really a limit. You can add a lot of requirements, but the more that you add, the less likely those campaigns are obviously [going] to meet all of them so usually we just have one requirement.",Budget, Pacvue, Errors or Issues, Campaigns, Automation, Loss of revenue, ROAS, Impressions, AdManager,,,,,,,,,
