TRANSCRIPTION,TAGS,,,,,,,,,,,,,,,,,,
"Generally speaking as well, kind of work with the SmartCart team and kind of understand exactly what updates are coming to the platform. So I know last year that you guys hadn't released aisle targeting. So based off my knowledge from the Coles campaigns, I was kind of able to work out how much would roughly spend on aisle targeting. And then I factored that in and then I also had to factor in mobile app because that previously wasn't launched last year. So yeah, just kind of understanding exactly what's in progress for you guys and what will be changed to the platform. And I kind of work out how I roughly determine our budgets. In saying that though this year or July, August, September has obviously been a huge month. So I have had to pitch for more budget from the team.",Budget, Spend, SmartCart, Coles, Mental models, AdManager, Understanding clear,,,,,,,,,,,,
"Yeah, and kind of just dive in a little bit deeper into some of the tests and learns that I've been doing and kind of showcasing the results that we've delivered. And generally speaking, they're all in a positive manner. Therefore, I can kind of justify and increase the spend. And I think it's kind of easy with lockdown being there's significantly more traffic. The SmartCart team provide me with all that traffic data. So it is kind of easy to pitch for that money when we know that like the shampoo search term from May through to August has gone up by 30% in terms of searches.",Business decision, Data, Metrics, Spend, Test & Learn / Experiments, Routine activity, Positive feedback, Support,,,,,,,,,,,
"No, it gets split. But I don't have visibility over what's been spent in-store.",,,,,,,,,,,,,,,,,,,
"Yeah, so we have a total budget and then we have an eComm budget and then within eComm, I have paid retailer search and then there's another girl who looks after our on-site activations.",eCommerce marketing/spend, Budget, On-site,,,,,,,,,,,,,,,,
Such as Pacvue?,,,,,,,,,,,,,,,,,,,
"Oh yes, I also utilize, well, I look after our Amazon campaigns and then I also work closely with Pacvue.",Off-site, Amazon, Pacvue,,,,,,,,,,,,,,,,
Yes.,,,,,,,,,,,,,,,,,,,
"Yeah, that's fine. Let me just get up the link in here.",,,,,,,,,,,,,,,,,,,
"Sorry, give me two seconds. I'm just logging in ...",,,,,,,,,,,,,,,,,,,
OK. Let me share my screen with you guys.,,,,,,,,,,,,,,,,,,,
OK. Sounds good. I'm just gonna change accounts first because I will do a real example.,,,,,,,,,,,,,,,,,,,
"Sorry, it's just flicking across to my ice creams account. Ok. So currently I don't have any ice creams campaigns live because we don't have the budget to take us through the full year. However, I want to capitalise on the current traffic driving to the ice cream search term right now. So, what I'll do is I'll set up a campaign with just one SKU because I know it's going to cost me too much money to be pushing 10 SKU's.",Business challenge, Budget, Campaigns, Opportunity, Products, Search terms / Keywords, SKU, Understanding clear,,,,,,,,,,,
"No. So I work super closely with my SmartCart contact Corinne Wang. So Corinne, like we catch up on a weekly basis and she kind of provides me with what's happening on the platform in terms of searches or in terms of like search volumes and then also impression data. So from that, I can kind of see, ok, the Woolworths platform has received a significant amount of traffic. Therefore, we probably should at least be turning on one ice cream campaign.",Campaigns, Data, Impressions, Insights, SmartCart, Woolworths, Audience targeting, Guidance,,,,,,,,,,,
"But it would be great if I could have a platform that does show me that analysis because obviously, I have to email Corinne [SmartCart], I don't have to wait for her to come back to me. Although she's very efficient. It would be great if I had that data instead.",Analysis, Data, Insights, SmartCart, Gap (Product or Service), AdManager, Brand needs,,,,,,,,,,,,
"So, yeah, what I'd do is I'd probably set up a campaign. I would open it up. I would select the date. So next week would be the 1st through the 7th. I'd keep the same wallet. I'm going to support Gaytime [ice cream [product]] this week, so I'd support Gaytime. I'd add an ice cream search term in. Oh, here we go. It's already there.",Campaigns, Products, Routine activity,,,,,,,,,,,,,,,,
"So what's really annoying is that I have to change the total maximum spend value. So I only want to be spending 3K [$3000]. So I would just have to change it to 40K [$40,000]. However, it would be good if the platform just let us do weekly budgets. And then within a weekly budget, it would be fantastic if I could actually then have another drop-down with a daily budget. So on Wednesday, I know that majority of, oh sorry, a lot of people coming to the site because we're obviously changing the promo cycle. So consumers will be coming onto the platform to check. Ok, this week where do I shop on Coles or Woolworths? Therefore, I want to make sure all of my Ads are appearing on Wednesday. So it would be great if I could up-weight [spend] my Wednesday budget, say to $400 and I'll probably do that for Wednesday, Thursday, Friday. But then I know based on the site traffic, it probably tapers down a bit. So then I'd want to go, Ok. Well, Saturday, Sunday, Monday, let's just keep it at 300. So I'd up-weight the first half of the week and I would down-weight the second half of the week.",Automation, Bidding, Budget, Campaigns, CPC (Cost Per Click), Date or Time related, Pacing, Day-parting, Promotions, Frustration, Limitation, Pain points,,,,,,,
"If it was the dream as well, I would be able to have some kind of time constraints set within the campaign. So generally speaking, a consumer who's checking out or doing her shopping at like two o'clock in the morning probably isn't actually going to check out [purchase] on my product. Therefore, it would be good if I could actually turn off my campaigns from say one o'clock in the morning through to 5 a.m. in the morning and then they would go live from 6 a.m. through to 12 p.m.",Overspending, Over-marketing, Day-parting, Campaigns, Future opportunity, Spend, Brand needs, Audience targeting,,,,,,,,,,,
"Well, I would have to, yeah. So I set it up for a week but then here because I only want to spend 40K [$40,000], I would just have to update it here. So I have to continually each week add extra budget onto here [Spend Strategy step in AdManager].",,,,,,,,,,,,,,,,,,,
"However, it would be better as well for like forecasting and like setting up campaigns for the future if I could set up campaigns with a weekly budget set. So for example, if I was looking at next month, I would be like, ok, so this week I'm going to set Magnum [ice cream] live. So I'll set the dates up and I'll set a campaign budget of 1000 [dollars]. And then next week I know it's going to be Gaytime. So I'll set that up and have a budget of 2000 [dollars]. And then the following week it's Paddle Pop on promo. So that way I can literally set up the whole month's worth of activity in one go.",Budget, Campaigns, Future opportunity, Brands, Forecasting,,,,,,,,,,,,,,
"Yeah. Actually, probably not though because we just target too many search terms. And then I feel like, yeah, I would probably just have like, because sorry if we, if I go into this [Campaign Manager in AdManager] and show you, I have like multiple campaign set up. So that approach would be fine if I only had one ice cream search campaign. But because I have ice cream. I've got the aisles, I've got tubs. I've also got like heaps of campaigns paused right now as well that I'd usually have live say during peak summer. I probably wouldn't only just focus on one campaign.",Complexity, Campaigns, Search terms / Keywords, Routine activity, AdManager,,,,,,,,,,,,,,
"It would be good though, within the platform here as well that although I have a monthly budget, I could set up some kind of weekly budget here to cover all 10 campaigns.",Brand needs, Budget, Insights, Gap (Product or Service), Limitation, AdManager,,,,,,,,,,,,,
"So for ice cream, it's kind of fixed dates.",,,,,,,,,,,,,,,,,,,
"Oh, sorry. No, for like ice cream in peak summer it's always on, but currently it's fixed dates because we don't have the money to last us a full year.",,,,,,,,,,,,,,,,,,,
"In terms of our like home care, beauty, personal care that would generally speaking, be Always On activity. With the exception of a few categories where it's extremely expensive to participate in.",Business norm, Business challenge, Bidding, Categories, Spend,,,,,,,,,,,,,,
"Yeah, like I see it in two ways. Like one [1], it would be great if you could say, ok, 60% of the budget is going to go to Monday, Tuesday, Wednesday and then Thurs 40% of the budget's going to go to Friday, Saturday, Sunday. However, my fear is that sometimes if you had a SKU that's performing super well. All of a sudden if I spent all of my budget on the one day. Like, say, if I had 60% and then I spent it all on Monday, then that means I wouldn't be live for Tuesday, Wednesday. And that wouldn't really make sense for me.",Concern or Worry, Overspending, Brand needs, Preference, Budget, Insights, SKU, Spend,,,,,,,,,,,
"Yeah. But ideally, we would be able to pace it. So Wednesday, Thursday, Friday when I have my biggest spends.",,,,,,,,,,,,,,,,,,,
"I think it's hard because the platform is so limited in itself that when it comes to optimising, I can't optimise the budget by these campaigns unless I then decided to have [split them out over] six different campaigns. So at the end of the day, I kind of did have this campaign running and it may mean that this Magnum Dolce De Leche [ice cream] SKU ends up having 90% of the budget. But for me then to have six different campaigns, it means that all of my campaigns are bidding against each other as well. So at least when I have all of the budgets together, then they're not bidding against each other. I feel like we're very limited by the platform. And as a result of that, it's kind of hard to optimise everything. Like I'd like to be more strategic, but I can't.",Limitation, AdManager, Business challenge, Brand needs, Bidding, Budget, Campaigns, Optimisation, Products, SKU, Difficulty in use, Negative feedback,,,,,,,
"Yeah, I mean, I think it just comes down to again like the weekly budgets, day-parting to have daily budgets as well. It would be cool as well if I could allocate, for example, on this one. It would be cool if I could allocate 40% of my budget to Magnum Minis [ice cream].",Business decision, Brand needs, UI improvements, Budget, Day-parting, Preference, Spend Limits / Cap-outs,,,,,,,,,,,,
"Yeah, I definitely would. Because as well, like I would want to up-weight [spend more] these budgets, these 2 products and make them last as long as I can because I know that consumers buy this. But they don't necessarily buy a lot of it, so I'd rather prioritise these 2 [campaigns].",Business decision, Buyer behaviour, Budget, Campaigns, Preference, Products, Spend,,,,,,,,,,,,
Yeah.,,,,,,,,,,,,,,,,,,,
"No, I generally not because I select our products based on their promos. So for Woolworths, generally speaking, I'll always be pushing promo products for ice cream. So I would never change it midway through the week.",Business decision, Optimisation, Campaigns, Products, Promotions, Woolworths,,,,,,,,,,,,,
"Yeah. And there's also probably some kind of method behind my madness as to why I have selected that SKU. So, yeah, even though it's not delivering a positive click through, it may be that it needs increased visibility [product awareness]. Therefore, although it's not delivering the media results [e.g.  ROAS], I want, I am actually helping it in terms of like brand visibility.",Preference, Awareness (funnel), CTR (Click Thru Rate), Performance, ROAS, SKU, Value or belief,,,,,,,,,,,,
"No, I just think because we've been doing this for such a long time that I kind of know what works for our brands.",,,,,,,,,,,,,,,,,,,
"Yeah, I mean, we probably, once we set it would check how they're performing, say like on a Friday. But generally speaking, because we know how all of these SKU's perform, we don't really optimise them throughout the week. And again, there's a reason why I've chosen to push Magnum, Almond Magnum, Classic [ice cream]. In terms of why I would remove a SKU, it would just mainly be down to like the click-through [CTR] or the conversion rate or the ROAS. So if we're delivering a really poor ROAS well, then I'd have a think about why we're pushing it and if it does have a negative ROAS, then I'd probably pause it.",Routine activity, Business decision, Underspending, Expectations, Campaigns, Conversion Rates, CTR (Click Thru Rate), Performance, ROAS, SKU,,,,,,,,,
"Yeah, I think that's more just like for budgeting. Right now, for example, I would only set this one live right now because I just wouldn't be able to cover the budget for these.",Business decision, Budget,,,,,,,,,,,,,,,,,
"Yeah, I definitely do. So ice creams, we don't because we're just one ice cream category here. If I went into my other accounts. For HBPC [Healthcare, Beauty & Personal Care], I have multiple wallets. And then this is purely just down to billing purposes. Like these [individual wallets in AdManager] will all get billed. We get obviously an invoice, but then deodorants will take a portion of that budget and that will be invoiced separately kind of thing. So it [the budget/billing] has split.",Business challenge, AdManager, Billing, Budget, Wallets, Categories, Routine activity,,,,,,,,,,,,
"Yeah, I mean, it is annoying because you get like the notification here [in the top bar of AdManager UI] saying you've like nearly reached your total spend. However, like it's just an in-platform notification, it's not like an email or a pop up notification. So it would be great if we could get that. We can obviously see here that I've reached 75% of my budget and now this is out of budget. But actually for me to have to come onto the platform is really annoying. It would be great if I got an email.",Frustration, AdManager, Notifications, Budget, UI, Wallets, Spend, Gap (Product or Service), Pain points,,,,,,,,,,
"Yeah, I guess it's just kind of double-checking how much money I actually have left for the remainder of the year because I like kind of work to yearly budgets or half yearly budgets. So I'd be like, ok, I'd run a report and go year-to-date, we have now spent $50,000 on the laundry category. I know that I have roughly [$]80,000 allocated. So that means that I have September, October, November, December. I have four months left of $20,000. So then I work out against this, do I have to increase my team's wallet, or do I have to decrease it?. So it would be good here if I could like set a budget, I know it wouldn't influence anything. But if I could set like a yearly budget and then I could have year to date how much I've spent and year to date remaining on top of this.",Gap (Product or Service), Routine activity, Optimisation, Reporting, Budget, Insights, Performance, Campaigns, Wallets,,,,,,,,,,
"So, ok, so I could set that [budget] though. Like I would write it in. I don't need SmartCart to update it.",,,,,,,,,,,,,,,,,,,
"No, it's not possible. I have separate budgets for every separate category. We don't work that way.",,,,,,,,,,,,,,,,,,,
Yeah.,,,,,,,,,,,,,,,,,,,
"I mean, I guess so. But then I know all the campaigns that would fall under deodorants. And because they're all set out separately. So I know that these are all home care campaigns. This is a hair care campaign. And in my head I'm already across all of the different campaigns that we have.",,,,,,,,,,,,,,,,,,,
"I guess I think I kind of have shared everything that I'm thinking of in terms of like weekly day-parting, daily budgets, setting a percentage of the budget. Like, if you have a weekly budget, setting a percentage to a few certain days. I guess I'm curious to know what you guys are thinking as to how you will change the platform.",,,,,,,,,,,,,,,,,,,
"Yeah. I don't know. Oh sorry. Can you just wait two minutes? I'm just going to message someone and say I'll be late. Yeah, like I don't know if it would be easier if as well, like rather than me having to export every single time I'm doing like a budget check, I'd be actually able to perform that action within the platform. That would be great because I have to go when you like export something. So for example, oh let me just share my screen again. [pain-point] [manual effort] [Data challenge]",Data challenge, Hack or Workaround, AdManager, Excel, Pain points, Manual effort, Reporting,,,,,,,,,,,,
"So like for example, when I run a year-to-date report, I have to go. I can't filter it by 188 days [6 months of reporting data], but this is probably an issue. I just want to see how I'm performing for laundry. So ideally, I'd just be able to type in 'laundry' and this number here [Cost column on Campaign report table] would refresh. That number doesn't refresh though. So even like if I look at this month, I will show you. Oh sorry. Ok, so we can see here that this month in August I spent [$]37K. Even if I was to type in laundry I have all my campaigns but I don't have something totalling how much I've spent this month. So it's kind of annoying because now I have to export it and then have to add up, like I have to go in for add up everything. So it would be great if the platform then summarized all of this spent.",Data challenge, Frustration, Limitation, Hack or Workaround, AdManager, Excel, Reporting, Data, Campaigns, Filter, Manual effort,,,,,,,,
"Cool. No worries. Yeah, let me know if you have any other questions or I can help you out with anything else.",,,,,,,,,,,,,,,,,,,
It's great.,,,,,,,,,,,,,,,,,,,
Have a good rest of your day.,,,,,,,,,,,,,,,,,,,
"No, definitely not on a video call. I think I've spoken to most of you either by email or Slack, but no other than that. No, I don't think I have.",,,,,,,,,,,,,,,,,,,
"I'm the head of on boarding for Europe. So working with the retailers to get their entire teams, their internal teams, their brands and their agencies across the platform, and comfortable with using it. I guess the way that we work in Europe is probably a little bit different to how we're working across America insomuch as we are not that close to our campaigns are pacing and hopefully that doesn't throw a spanner in the works today. All the conversations are direct with retailer. So retailer to brand is not managed via a AdManager connection at all.",,,,,,,,,,,,,,,,,,,
"Yeah and hi, I'm Matt. I'm a technical account manager. Working mostly for Europe customers but not only. So, with the pacing I've got some experience like with the technical issues. I'm trying to explain clients how our current workflow works. Like mostly the daily spent, which is the most close one to the pacing we've got right now. I might have some technical, more technical view on what's going on there and what are the technical issues with the current workload right now?",,,,,,,,,,,,,,,,,,,
"Yeah, I mean, from, from our conversations with this, with retailers so far, the only push back they get on pacing is coming directly from agencies. And they [retailers] don't have a huge interest in pacing at the moment because without pacing, they're making more money.",Pacing, Mental models, Agencies, Retailers,,,,,,,,,,,,,,,
Oh my God. So I guess I'm energized because I ran this morning.,,,,,,,,,,,,,,,,,,,
I am however exhausted because I am a mom of three year old that won't sleep.,,,,,,,,,,,,,,,,,,,
"I don't know, I'm happy I'm having a good day. It's all good.",,,,,,,,,,,,,,,,,,,
So yeah.,,,,,,,,,,,,,,,,,,,
"Entertained, that's for sure.",,,,,,,,,,,,,,,,,,,
"Yeah, I would say I was also energized because I'm after a morning, a morning coffee. So yeah, and it's a little bit warm here in my room. So I feel warmed up.",,,,,,,,,,,,,,,,,,,
No.,,,,,,,,,,,,,,,,,,,
"So I've been with the business since October 2019. But as part of head of onboarding, the role changed over in about May [2020].",Routine activity, AdManager,,,,,,,,,,,,,,,,,
None.,,,,,,,,,,,,,,,,,,,
"Like officially for a year. But I was also involved in account management, bit earlier when I was working as a software developer. So I could tell that year and a half.",Routine activity, AdManager,,,,,,,,,,,,,,,,,
"Well, mostly for demo purposes or if I help my customers. But I don't create campaigns on my own. It's rather helping others.",Advice and guidance, Routine activity, AdManager,,,,,,,,,,,,,,,,
"I think we, we both know how to do it and my role is demonstrating every day how to create one. But as a live active campaign very much sits with the retailers’ teams.",Advice and guidance, Training, Routine activity, AdManager,,,,,,,,,,,,,,,
"So we really don't - well, from my perspective - we really don't get involved in that. Like are we supporting, and you know, we talk about optimisations and things like that and we support their internal teams. But if they've got a budget and they need to know how to spend it, that conversation is directly with the internal retailer team. We help and support a little bit across OXO at the moment with their small-medium businesses.",Advice and guidance, Budget, Managed service, Optimisation, Spend, Training, OXO, Routine activity, Retailers, UK,,,,,,,,,
"But it's very kind of hands off, I guess because that's, you know, we're here to make sure that the internal teams and the brands know how to use the platform and they can create everything and they understand the results from reporting. But we're not here to help them plan their spend.",Advice and guidance, Managed service, Reporting, Routine activity, Support,,,,,,,,,,,,,,
"Yes. So I do that end-to-end. So I start off with the internal team and I train the internal team. Get them completely across it. Show them the platform. Talk to them about the deliver mechanics of it all, or talk to them about what the different result reporting metrics are. We'll go through all of the processes. What it will look like in terms of the results coming through and then we talk about how to set up a campaign. We talk about the fact that you have the Always On function for the everyday spend. You've got total campaign spend. We go through all of that and what all of that means. But yeah, everything else beyond that then, we train them. We then train all of their suppliers up, their agencies up, and then they pick up - internally - they then pick up the conversations thereafter. I'm on a lot of the phone calls with them. And they are part of the 1-to-1 training sessions as well.",Advice and guidance, Campaigns, Reporting, Spend, Training, AdManager, Support,,,,,,,,,,,,
"Yeah, sorry Matt. No, go ahead.",,,,,,,,,,,,,,,,,,,
"So actually I appear a bit longer in the, in that chain. So usually I start to be involved when someone has been already enrolled for the platform and the retailer or suppliers, they've got some questions or usually it's something around, hey, how it's working because we expect to see it in different way. But we see reporting like that. And I'm trying to provide the technical explanation of how the things works. So, I'm a bit later in the conversations usually.",On-boarding, Advice and guidance, Expectations, Reporting, Routine activity, AdManager, Brands, Retailers, Support,,,,,,,,,,
"Yeah. And they, they are very specific to the needs of the retailer. So they work in slightly different ways. So with OXO, for example, we just work with small-medium businesses, or wallets are prepaid. So topping-up is like their responsibility. Most of the suppliers across the OXO will just have a single top-up wallet.  Whereas Sainsbury's for example, work very closely with their suppliers to try and make sure that each different wallet has attached PO's [Purchase Orders] to it. So the PO number then becomes the wallet name. And they run from that mechanic. And Tesco at the moment who we're working with are a little bit more open. So everyone's working with wallets in different ways. The retailer has 90% of the time been defining what that looks like to make sure that the system and you know, continued journey remains the same as close as possible for the retailing brands. Because all invoicing is all coming through directly from the retailer.",Contracts, Business challenge, Complexity, PO (Purchase Order), UPC or Identifier, Wallets, OXO, Sainsburys, Tesco, Brands, Retailers, Billing, Retailer needs,,,,,,
"There's very few that ask about pacing. And agencies definitely. The agencies are much more about how they could do the pacing, and you know, how do we fix the budget to run for X months' time and do it that way. Whereas the supplier brands aren't so worried about that. As long as they can see results, they can keep going back. And 9 times out of 10, they're just extend their funding. Which is why I think some of our retailers are a bit hesitant to switch pacing on because I think they would see a slowdown in investment.",Concern or Worry, Budget, Pacing, Revenue, Mental models, Detractor, Agencies, Brands, Retailers, Customer needs,,,,,,,,,
"So if suppliers don't pace their campaigns, what strategy do they use? How, yeah, what strategy are they using?",,,,,,,,,,,,,,,,,,,
"So, Always On [spend] or aligned to retailers cycle windows or promotional windows. So they will set campaigns up to align to promotional phasing and do it that way.",Business strategy, Spend, Brands,,,,,,,,,,,,,,,,
"And I guess we've got a few suppliers who are running FTA [Fixed Tenancy] campaigns, right?",,,,,,,,,,,,,,,,,,,
"A couple of them. Most of it's going to be coming from the internal teams. But again, and certainly with OXO, we'll be running those fixed tenancy campaigns [FTA as well. So for their big supplies, they're not allowing them to come in on auction basis to begin with.",Operations, Auctions, FTA (Fixed Tenancy Ads), OXO, Brands,,,,,,,,,,,,,,
"I mean, as I say, we're not as close to the commercial conversations as you know, as the retailers are. So there may be heightened conversations, but it's not something that we are being approached about on a weekly basis to say, do you know what with X amount of suppliers that are saying that they're burning their budgets too quickly?",Pacing, Understanding vague, Retailers,,,,,,,,,,,,,,,,
"Actually there is one retailer, La Moda, it's a Russian fashion store and the product manager is was very interested in introducing pacing to their platform. But, I'm not sure if this comes more from La Moda team or from the suppliers who wants to advertise on or on La Moda. But definitely she was very interested in having pacing on their platform. So the supplier can spend that even amount of money during the campaign active period.",Campaigns, Pacing, Spend, La Modé, Brands, Retailer needs,,,,,,,,,,,,,
"The most common one is, can I get an alert that tells me when my budget's spent. Like genuinely, just tell me when my budget's run out so that I can go in and top my wallet back up.",,,,,,,,,,,,,,,,,,,
"Yeah, the most common questions I've received is how's the daily spend is working, actually. Because it's confusing for the clients, that spend is actually using the 24-hour rolling window. Like the expectation is to have that window to be divided by day. So the first day and you've got the budget over 24-hour and when the next day starts, the next piece of cake, the next piece of budget is going to enter. And right now this is this moving 24-hour window, which is just confusing. That's the most common questions I've got. The other thing is about - it's not directly connected to pacing - it's about overspend. So sometimes because if the daily budget is low comparing to the amount of traffic and the CPC, there could be some overspending because we simply cannot stop the serving Ads in in the right time because of the of the volume of the Ads. So yeah, there's also questions around this overspending.",Overspending, Ad serving, Budget, CPC (Cost Per Click), Spend Limits / Cap-outs, Confusion, Brands, Support,,,,,,,,,,,
"So, Nectar360 don't have it. I don't think OXO I have it. I will double check that though.",,,,,,,,,,,,,,,,,,,
"Yeah, but I remember with Nectar there was a thing that they want to have it but because it brought confusion, they decided to turn it off. Is that correct?",Business decision, Spend Limits / Cap-outs, Nectar360, Confusion, Negative feedback,,,,,,,,,,,,,,
"No, I think maybe not the confusion. I think the concern - oh, OXO do have it [daily spend limits] - I think the concern is that [they] can't push the price up as much. The auction kind of falls a little bit as you start to hit certain times of the day. So if you've got, you know, if you've got somebody coming in and saying, right, we're going to cap it at £30 a day and they hit that £30 at midday. They're not pushing them out to spend and keep the auction going for the rest of the day. If you've then got somebody who's only bidding 45p, which is their full price, then they just capture what actually might be some of the more fruitful shoppers. And so then they kind of see that coming in the afternoon. I think that might have been a bit more of their concern again, which is why they don't have it on Argos as well.",Concern or Worry, Auctions, Bidding, Spend Limits / Cap-outs, Argos, OXO, Loss of revenue, Brands,,,,,,,,,,,
"So OXO right now is Always On, small-medium businesses and when we bring on Tier 1's and 2's, there'll be FTA's for the first 12 months. I think a lot of Nectar360 is date ranged to total spending, date ranged. Yeah, it's total spend and date range. So they're using their... we are going to use X amount of budget and it's going to run across X date and whatever comes first comes first.  So yeah, it's a tricky one because the retailers' working slightly differently, the approach is slightly different from the brands. And Tesco's were just kind of really early days.  And I think everyone's... it's a bit of a mishmash as to what they're doing.",Business norm, Operations, Business challenge, Budget, FTA (Fixed Tenancy Ads), Spend, OXO, Tesco, Brands,,,,,,,,,,
"Yeah, I'm checking Tesco. What's the like Tesco campaign to see?",,,,,,,,,,,,,,,,,,,
Me too.,,,,,,,,,,,,,,,,,,,
"Yes, it looks like there is Always On campaigns. Some totals [spend]. Few daily [spends]. Yeah, so mostly the total spend, then Always On and then some of campaigns are daily spend. I would say.",,,,,,,,,,,,,,,,,,,
"Sure, no worries. Can you see my screen? Ok, so here is the admin panel for Tesco and here you can see the budgeting of all campaigns. Probably I would need to set only active and valid campaigns to appear. Ok, here we are. And, and then it means that if it's Always On, daily means daily and total means total. So here is a few, Always On campaign.  3 daily [spend limited] campaigns. Some of them are total. So this is the first page, second page total, total, Always On. Most of them are total here if you Always On campaigns. Yeah, the same here, here you are here. You've got two daily budget campaigns total one daily. Always On. Yeah. So I would say that the first of all goes total span, then Always On and then like some small per percentage of campaigns are daily. Like I count 4, 5. Not sure.",Operations, Budget, Campaigns, Spend, Tesco, Brands,,,,,,,,,,,,,
"Ok. For me... just a second, my system just decided to break. Here we go. Here we go. Yeah, sorry. The Nectar360 is the most familiar and it's just crashed on me. Just give me a sec. Here we go.",,,,,,,,,,,,,,,,,,,
"So, I'll do this really, really super top-line just so you can see what it entails when we do these sessions. But when we come into it in the very, very first instance, I'm simply taking them through the platform. So talking them through, this is the dashboard. Here's your product placements. Stats. These are your banner-x stats and we'll talk through both of these. Talk about different catalog’s that they can select between Argos and Sainsbury's and the date ranges that they can choose from.",Banners, Catalog (retailer), Metrics, Performance, Placements, Training, UI, Sainsburys, AdManager,,,,,,,,,,
"We talk through the line graph. The different metrics of the line graph and how they can all be toggled and changed. Talk through the averages here. So average return on Ad spend [ROAS] between 250[%] and 400%. Average conversion rate between 55[%] and 65%. Average cost per click, total sales at 1-to-1 attribution. Talk through the impressions and the clicks per campaign. And then take them through the top 10 isolated out SKU's. And kind of just run them through that this is a ranked order of revenue. We then move across into the campaigns tab. Reiterate these top points here. Talk them through the line graph and the change from conversions into quantity. Talk through the impressions. Talk them through the averages again here. Take them through here and talk to them about the different spend mechanics. So, you know, if you set a campaign budget, it's visible here. You've got your maximum bid, impressions, clicks, conversions and sales. Walk them through what everything means across here. Show them how this is broken down by product, if it works.",Advice and guidance, Bidding, Budget, Conversion Rates, Impressions, Metrics, Performance, Products, ROAS, SKU, Spend, Training, UI, AdManager, Guidance,,,,
"Talk to them about the stock situation, the indicators on the left. Take them through all of these key metrics. Come back, and talk to them about average Ad rank and how that can be led by their CPC, and some things that they can do to elevate this up. Walk them through the search terms about making sure that they've got the right search terms. Checking through the return and Ad spend. Looking at this from different angles depending on what the objective of the campaign is. Take them through the history tab and talk them through the fact that they can export everything out to a CSV. And then back into the campaigns tab just to show them an isolated view of a campaign, so that they can see how the campaign budget is tracking. If they set date range on there, if they set a budget, they can see the track through both.",Advice and guidance, Budget, Campaigns, CPC (Cost Per Click), Data, Metrics, Objectives, Performance, ROAS, Search terms / Keywords, Training, AdManager, Excel,,,,,,
"No, very few.",,,,,,,,,,,,,,,,,,,
"Go through this talk to them about how they can look at all of this in detail at an isolated campaign level. Using this to isolate out the objectives of each different location. And then we move into the campaign manager. So taking them through the different approval statuses. The different active statuses. Letting them know that if they expand into this, they can then duplicate, they can make their quick edits from here. They can change their spend type. And then walk them through pausing and archiving. And then at this point, I would then take them through a campaign.",Approvals, Campaigns, Spend, Training, UI, AdManager,,,,,,,,,,,,,
"Talk to them about selecting the right location, selecting the right product type, choosing their placement, campaign name. Talk to them about setting either an active period or an Always On wallet. So you can see here these guys are going on a PO number and they have all these wallets, different allocation of spend.",Advice and guidance, Campaigns, Date or Time related, Placements, PO (Purchase Order), Spend, Training, Wallets, AdManager,,,,,,,,,,
"They've got an Always On here. Add their catalog, input their SKU's, which I won't do. Input search terms. And then when we get to this point, we talk through the two strategy types. Talk them through the fact that Always On simply just pulls from the wallet. Talk them through the fact that there's a total spend allocation on top of this. And then explain to them that we don't do pacing that it's all relevantly targeted. That allows them to reach the right customer at the right time, encouraging that return on a spend. And so we get very few questions at this point around, is there a way to pace anything. As I say, the majority of those questions actually come from our agency conversations rather than our brand conversations. So we would walk them through this strategy page here. Talk to them about the maximum spend value. The fact that it caps as soon as it hits that it stops.",Advice and guidance, Budget, Catalog (retailer), Pacing, Relevancy, Search terms / Keywords, SKU, Spend, Spend Limits / Cap-outs, Training, Wallets, AdManager, Agencies, Brands, Support,,,,
"Maximum cost per click. They then have to complete a PO number in here. And then show them how they can simply launch that campaign or save it as a draft. And then we do that again just to show them the duplicate mechanic. So we're not digging into the details of this is how we recommend that you spend that budget. Our role here is not to make, you know, in the UK, it's not to make the recommendation of how they spend their money is just to very much purely explain to them, this is how the platform works and this is what you can do in it. And so if the pacing questions are coming up - and I'm happy to float this - they're not coming to us. They may be going into the retailers, but they're not coming back to myself or Kim as far as I'm aware.",Advice and guidance, Bidding, Budget, Campaigns, Pacing, PO (Purchase Order), Spend, Training, AdManager,,,,,,,,,,
"I think retailers aren't across it, you know, kind of as intently as you know, as closely as an agency would be. But their understanding is that somebody could set a date range and set a budget and that we would make sure that that product appeared for that entire time. And so the system would naturally pace it to make sure that they're achieving it.",Knowledge gap, Ad serving, Budget, Date or Time related, Expectations, Pacing, Agencies, Retailers,,,,,,,,,,,
"There will be, from an agency perspective, their expectations would be around being able to dial up to certain hours of the day. And being able to say, ok, between the hours of 8am and 4pm we want to spend X amount of our budget. But in the other areas we want to keep it ticking through. But, you know, we don't want to be doing it. I think from an agency's perspective, the closer they can get to how it delivers and when it delivers the better. But as I say, from a retailer's perspective, it's not a major factor for them right now.",Budget, Expectations, Pacing, Mental models, Agencies,,,,,,,,,,,,,,
Yeah. Work with agencies all the time.,,,,,,,,,,,,,,,,,,,
